-	0	1	2	3	4	5	6	7	8	9
-	28,69,139	28,69,139	28,69,139	28,69,139	28,69,139	28,69,139	0,161,75	0,161,75	0,161,75	217,0,0	
label	P1	P34	P56	P78	P9	P70	Metro	North	South	Shops
P1	0	0	1	1	7	0	20	29	0	5
P34	0	0	0	0	6	0	39	32	12	0
P56	0	0	0	0	7	0	54	19	3	0
P78	0	0	0	0	7	0	41	32	17	0
P9	8	9	12	14	0	7	10	18	12	14
P70	0	0	0	0	2	0	6	12	0	0
Metro	6	3	7	8	7	6	0	0	8	5
North	18	3	12	21	34	32	0	0	20	20
South	0	2	6	7	0	1	24	16	0	1
Shops	0	0	0	2	2	1	22	18	13	2
