-	0	1	2	3	4	5	6	7	8	9
-	28,69,139	28,69,139	28,69,139	28,69,139	28,69,139	28,69,139	0,161,75	0,161,75	0,161,75	217,0,0	
label	P1	P34	P56	P78	P9	P70	Metro	North	South	Shops
P1	0.0	29.32933376661	50.78550044241	50.5324166165	2.503408526591	24.47342412778	109.0972344916	340.8188857798	48.9541883007	153.1465321
P34	32.89219806227	0.0	132.0606427932	129.996669018	3.39920393369	3.84771508814654	381.494197085	381.274955308	127.8098215441	45.08887401003
P56	42.6255755821	123.2262227335	0.0	178.8716623947	7.78926758107	0.165601866656	484.355131445	317.353411354	152.4803456579	86.1640342618
P78	21.27929865439	47.4322156275	79.7731487172	0.0	4.47872968018	0.819644228805	221.722984508	205.891993928	74.9390493201	32.8050532542
P9	2.74219043793	3.54027173385	12.8327497923	13.55260849161	0.0	0.0	58.07890650999	49.16348221476	19.05542754405	91.986036799936
P70	161.1690992776	5.88157698255458	9.989241983029	9.843484044397	61.0125555552	0.0	30.75750117659	170.5404471064	32.75517457508	0.0
Metro	16.2296967426	58.3616610602	146.1337583127	142.8381931947	19.63104764924	15.50663901287	0.0	0.0	83.3160115638	0.72165124155
North	156.0828641069	189.7357985341	435.565400834	430.268469635	85.6195676911	84.2421028005	0.0	0.0	154.9851927508	2.324041141333
South	18.39486742697	58.0830246357	166.7427171383	160.4713457971	44.5975719722	23.04299409232	91.2845729003	77.9243565444	0.0	0.0
Shops	10.93081357708	12.08152131092	69.9577671585	71.2424183649	42.8111673124	0.0	37.7447718383	124.2819545538	12.768024716	0.0
